pitcher,p_hand,pitch_type,pitch_name,velocity,spin_rate,horz_break,vert_break,release_x,release_z,extension,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az
448306,R,FF,4-Seam Fastball,90.7,2247,-0.5183,1.2509,-2.2326,5.7906,6.607,-0.5906,3.1655,5.2569,-132.0416,-3.3799,-7.2147,27.2453,-16.8768
607536,L,CH,Changeup,86.8,1472,1.1607,0.3049,1.9293,5.7443,6.332,-0.4359,0.5884,-8.0196,-126.0229,-6.7205,13.9996,26.0997,-27.7606
607536,L,FT,2-Seam Fastball,92.2,2235,1.4349,0.4649,1.9031,5.7398,6.324,0.7617,1.7945,-6.0163,-134.0256,-5.1397,18.5725,31.8236,-25.636
453286,R,CU,Curveball,78,2592,0.8107,-0.7918,-3.4767,5.5252,5.527,-2.0552,1.7087,1.5913,-113.5643,0.0401,6.5627,19.8022,-39.106
448306,R,FC,Cutter,85.1,2349,0.4019,0.4996,-3.1718,5.0236,6.819,2.8113,2.5204,13.3087,-123.459,-0.5956,1.8095,22.2427,-27.0091
607536,L,CH,Changeup,85.8,1296,1.2067,0.2195,1.7882,5.7834,6.12,1.3292,2.5182,-3.4927,-124.7774,-1.85,13.1904,26.7038,-29.7552
453286,R,FF,4-Seam Fastball,95.6,2388,-0.904,1.0116,-3.6105,5.0636,6.131,-0.382,3.3518,10.468,-138.7851,-1.1434,-13.8635,29.6094,-19.1316
448306,R,KC,Knuckle Curve,75.5,2587,0.9169,-0.6586,-2.16,5.9883,6.471,-1.3355,2.9678,0.078,-110.0297,1.9932,7.4658,19.4324,-38.106
453286,R,FF,4-Seam Fastball,95.6,2504,-0.7148,1.2628,-3.5658,5.1532,6.034,-0.6901,4.0838,9.1045,-138.8256,0.013,-11.1805,31.1502,-16.2664
607536,L,FT,2-Seam Fastball,91.2,2144,1.3986,0.5011,1.8296,5.671,6.236,1.252,1.6194,-4.4391,-132.6693,-5.3411,17.3881,29.1637,-25.346
448306,R,KC,Knuckle Curve,77.1,2636,0.75,-0.8688,-2.4531,5.9468,6.476,1.1176,0.8246,6.2374,-112.1426,-2.2842,5.1176,21.652,-39.2784
453286,R,FF,4-Seam Fastball,95,2563,-0.7655,1.2653,-3.6194,5.2145,6.278,0.878,2.9202,13.4219,-137.6327,-3.1146,-12.6692,30.3998,-15.6635
